MAG.ID,t_domain,t_phylum,t_class,t_order,t_family,t_genus,t_species
MAG16_Prevotella_sp,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Prevotella,s__Prevotella sp015074785
MAG12_Carnobacterium_maltaromaticum,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Carnobacteriaceae,g__Carnobacterium,s__Carnobacterium maltaromaticum
MAG13_Lactobacillus_johnsonii,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__Lactobacillus johnsonii
MAG03_Mycoplasma_sp,d__Bacteria,p__Firmicutes,c__Bacilli,o__Mycoplasmatales,f__Metamycoplasmataceae,g__UBA710,s__
MAG05_Mycoplasma_sp,d__Bacteria,p__Firmicutes,c__Bacilli,o__Mycoplasmatales,f__Metamycoplasmataceae,g__UBA710,s__
MAG01_Mycoplasma_salmoninae,d__Bacteria,p__Firmicutes,c__Bacilli,o__Mycoplasmatales,f__Mycoplasmoidaceae,g__,s__
MAG02_Mycoplasma_sp,d__Bacteria,p__Firmicutes,c__Bacilli,o__Mycoplasmatales,f__Mycoplasmoidaceae,g__Mycoplasma_L,s__
MAG04_Mycoplasma_sp,d__Bacteria,p__Firmicutes,c__Bacilli,o__Mycoplasmatales,f__Mycoplasmoidaceae,g__Mycoplasma_L,s__
MAG14_Clostridium_ljungdahlii,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Clostridiales,f__Clostridiaceae,g__Clostridium_B,s__Clostridium_B ljungdahlii
MAG15_Psychromonas_sp,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Psychromonadaceae,g__Psychromonas,s__
MAG08_Aliivibrio_sp,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Vibrionaceae,g__Aliivibrio,s__
MAG09_Aliivibrio_sp,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Vibrionaceae,g__Aliivibrio,s__
MAG10_Aliivibrio_salmonicida,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Vibrionaceae,g__Aliivibrio,s__Aliivibrio salmonicida_A
MAG07_Photobacterium_iliopiscarium,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Vibrionaceae,g__Photobacterium,s__Photobacterium iliopiscarium
MAG06_Photobacterium_phosphoreum,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Vibrionaceae,g__Photobacterium,s__Photobacterium phosphoreum
MAG11_Brevinema_sp,d__Bacteria,p__Spirochaetota,c__Brevinematia,o__Brevinematales,f__Brevinemataceae,g__Brevinema,s__
