,HostRNA,mbol,MetaG
Factor1,1.36140915128564,23.0864878277497,1.66310563947939
Factor2,25.1878347525793,0.12733585267799,0.0799728967669444
Factor3,0.823385908959573,3.50875699533397,7.94712350589076
Factor4,11.8698310666943,0.00171057529964047,0.00137720605070113
Factor5,0.450678714079789,9.26328830366996,0.00434848275863153
Factor6,5.90494302001907,0.00897893509013148,0.787567307697179
Factor7,2.34166647004826,0.663407513379966,3.39365102688226
Factor8,5.12089983692675,0.783590233006037,0.105513796405121
Factor9,4.91987660703685,0.50653939216766,0.0219654964526583
Factor10,0.418885646867939,4.08304717761597,0.34893681441539
Factor11,2.58125651405146,0.362520024340496,1.84141155287824
Factor12,0.279787005539256,4.31941391058805,0.00205776710854311
Factor13,0.398266144109682,3.1291557894483,0.00268761120642003
Factor14,3.47413003826661,0.0105073451061588,0.0291358323996294
Factor15,2.78484565112647,0.00158621198013131,0.00288960441017228
